Year,Q,Period,Rank 1,Rank 2,Rank 3,Rank 4,Average minutes played per day,Game,Console,Image_path,Genre,,Console
2018,3,University,Assassin’s Creed Odyssey,Call of Duty Black Ops II PS4,Age of Empires II The Age of Kings,Grand Theft Auto V,30,Bloodborne,PS4,Bloodborne,RPG,,
2018,4,University,Overcooked 2,Assassin’s Creed Odyssey,Call of Duty Black Ops II PS4,Grand Theft Auto V,30,FIFA 2002,PS2,FIFA 2002,Sports / Racing,,
2019,1,University,Age of Empires Definitive Edition,Overcooked,Call of Duty Black Ops II PS4,Grand Theft Auto V,40,FIFA 2003,PS2,FIFA 2003,Sports / Racing,,
2019,2,University,Overcooked 2,Age of Empires Definitive Edition,Call of Duty Black Ops II PS4,Grand Theft Auto V,20,Fallout New Vegas,PS4,Fallout New Vegas,RPG,,
2019,3,University,Overcooked 2,Overcooked,Call of Duty Black Ops II PS4,Age of Empires Definitive Edition,20,Gears of War,Xbox 360,Gears of War,Shooter,,
2019,4,University,Call of Duty Modern Warfare,Overcooked 2,Overcooked,Age of Empires Definitive Edition,30,Gears of War 2,Xbox 360,Gears of War 2,Shooter,,
2020,1,University,Call of Duty Modern Warfare,Overcooked 2,Overcooked,Age of Empires Definitive Edition,20,Guitar Hero II,PS2,Guitar Hero II,Puzzle / Party,,
2020,2,University,Call of Duty Modern Warfare,Overcooked 2,Overcooked,Age of Empires Definitive Edition,20,Halo Reach,Xbox 360,Halo Reach,Shooter,,
2020,3,PHD,Assassin’s Creed Valhalla,Overcooked 2,Overcooked,Age of Empires Definitive Edition,20,Skate,Xbox 360,Skate,Sports / Racing,,
2020,4,PHD,Overcooked 2,Assassin’s Creed Valhalla,Overcooked,Age of Empires Definitive Edition,20,Skate 2,Xbox 360,Skate 2,Sports / Racing,,
2021,1,PHD,Crash Team Racing Nitro-Fueled,horizon zero dawn,Age of Empires Definitive Edition,Assassin’s Creed Valhalla,20,Star Wars Battlefront II,PS2,Star Wars Battlefront II,Shooter,,
2021,2,PHD,horizon zero dawn,Age of Empires Definitive Edition,Crash Team Racing Nitro-Fueled,Grand Theft Auto V,20,Star Wars Battlefront,PS2,Star Wars Battlefront,Shooter,,
2021,3,PHD,crash bandicute about time,horizon zero dawn,Age of Empires Definitive Edition,horizon zero dawn,20,World of Warcraft,PC,World of Warcraft,MMORPG,,
2021,4,PHD,Overcooked 2,crash bandicute about time,Age of Empires Definitive Edition,horizon zero dawn,20,Age of Empires Definitive Edition,Windows 10,Age of Empires Definitive Edition,Strategy,,
2022,1,PHD,Elden Ring,Overcooked 2,crash bandicute about time,Age of Empires Definitive Edition,60,Rayman,PS1,Rayman,Platformer,,
2022,2,PHD,Elden Ring,Overcooked 2,Age of Empires Definitive Edition,Overcooked,40,Simpsons Hit & Run,PS2,Simpsons Hit & Run,Platformer,,
2022,3,PHD,Bloodborne,Overcooked 2,Overcooked,Call of Duty Black Ops II PS4,40,Mass Effect,Xbox 360,Mass Effect,RPG,,
2022,4,PHD,star wars fallen order,Bloodborne,Overcooked 2,Age of Empires Definitive Edition,40,Mass Effect 2,Xbox 360,Mass Effect 2,RPG,,
2023,1,PHD,Elden Ring,star wars fallen order,Overcooked 2,Call of Duty Black Ops II PS4,40,Mass Effect 3,Xbox 360,Mass Effect 3,RPG,,
2023,2,PHD,Elden Ring,Overcooked 2,Age of Empires Definitive Edition,Call of Duty Black Ops II PS4,40,Fable II,Xbox 360,Fable II,RPG,,
2023,3,PHD,Overcooked 2,Elden Ring,Age of Empires Definitive Edition,Call of Duty Black Ops II PS4,40,sly racoon,PS2,sly racoon,Platformer,,
2023,4,PHD,Overcooked 2,Elden Ring,Call of Duty Black Ops II PS4,Age of Empires Definitive Edition,30,lost planet,Xbox 360,lost planet,Shooter,,
2024,1,Professional,Overcooked 2,Elden Ring,Call of Duty Black Ops II PS4,Age of Empires Definitive Edition,10,war of the monsters,PS2,war of the monsters,Fighting / Brawler,,
2024,2,Professional,WWE 2K24,Overcooked 2,Call of Duty Black Ops II PS4,Age of Empires Definitive Edition,10,Burnout 3,PS2,Burnout 3,Sports / Racing,,
2024,3,Professional,Overcooked 2,WWE 2K24,Call of Duty Black Ops II PS4,Age of Empires Definitive Edition,10,hydro thunder,PC,hydro thunder,Sports / Racing,,
2024,4,Professional,TowerFall,Age of Empires Definitive Edition,WWE 2K24,Call of Duty Black Ops II PS4,20,Star Wars Bounty Hunter,PS2,Star Wars Bounty Hunter,Stealth ,,
2025,1,Professional,TowerFall,Overcooked 2,WWE 2K24,Call of Duty Black Ops II PS4,,Tomb Raider III,PC,Tomb Raider III,Platformer,,
2025,2,Professional,Elden Ring Nightreign,Hades,TowerFall,Call of Duty Black Ops II PS4,30,crazy taxi ,PS2,crazy taxi ,Sports / Racing,,
2025,3,Professional,Overcooked 2,Elden Ring Nightreign,Hades,Call of Duty Black Ops II PS4,30,driver,PS1,driver,Sports / Racing,,
2025,4,Professional,Battlefield 1,TowerFall,Elden Ring Nightreign,Hades,40,Fifa Street,PS2,Fifa Street,Sports / Racing,,
,,,,,,,,crash bandicute about time,PS4,crash bandicute about time,Platformer,,
,,,,,,,,star wars fallen order,PS4,star wars fallen order,Stealth ,,
,,,,,,,,horizon zero dawn,PS4,horizon zero dawn,Stealth ,,
,,,,,,,,Hades,PS4,Hades,RPG,,
,,,,,,,,Call of Duty Black Ops II PS4,PS4,Call of Duty Black Ops II PS4,Shooter,,
,,,,,,,,Call of Duty Modern Warfare,PS4,Call of Duty Modern Warfare,Shooter,,
,,,,,,,,splinter cell,PS2,splinter cell,Stealth ,,
